x, rho, p, u, e, H, c
0.17900000, 0.99999961, 0.99999946, 0.00000046, 2.49999865, 3.49999946, 1.18321587
0.18000000, 0.99999950, 0.99999929, 0.00000060, 2.49999824, 3.49999929, 1.18321584
0.18100000, 0.99999934, 0.99999908, 0.00000078, 2.49999770, 3.49999908, 1.18321580
0.18200000, 0.99999915, 0.99999881, 0.00000101, 2.49999702, 3.49999881, 1.18321575
0.18300000, 0.99999890, 0.99999845, 0.00000131, 2.49999613, 3.49999845, 1.18321570
0.18400000, 0.99999857, 0.99999800, 0.00000169, 2.49999501, 3.49999800, 1.18321562
0.18500000, 0.99999816, 0.99999743, 0.00000217, 2.49999358, 3.49999743, 1.18321552
0.18600000, 0.99999765, 0.99999670, 0.00000279, 2.49999176, 3.49999670, 1.18321540
0.18700000, 0.99999699, 0.99999578, 0.00000356, 2.49998946, 3.49999578, 1.18321524
0.18800000, 0.99999616, 0.99999462, 0.00000454, 2.49998656, 3.49999462, 1.18321505
0.18900000, 0.99999512, 0.99999317, 0.00000577, 2.49998292, 3.49999317, 1.18321480
0.19000000, 0.99999382, 0.99999135, 0.00000731, 2.49997837, 3.49999135, 1.18321449
0.19100000, 0.99999219, 0.99998907, 0.00000924, 2.49997268, 3.49998907, 1.18321411
0.19200000, 0.99999017, 0.99998624, 0.00001163, 2.49996561, 3.49998624, 1.18321363
0.19300000, 0.99998767, 0.99998274, 0.00001459, 2.49995685, 3.49998274, 1.18321304
0.19400000, 0.99998458, 0.99997841, 0.00001825, 2.49994603, 3.49997841, 1.18321231
0.19500000, 0.99998078, 0.99997309, 0.00002275, 2.49993272, 3.49997309, 1.18321141
0.19600000, 0.99997611, 0.99996656, 0.00002827, 2.49991639, 3.49996656, 1.18321030
0.19700000, 0.99997041, 0.99995858, 0.00003501, 2.49989644, 3.49995858, 1.18320895
0.19800000, 0.99996347, 0.99994886, 0.00004322, 2.49987215, 3.49994886, 1.18320731
0.19900000, 0.99995505, 0.99993707, 0.00005319, 2.49984267, 3.49993707, 1.18320532
0.20000000, 0.99994486, 0.99992281, 0.00006524, 2.49980702, 3.49992281, 1.18320291
0.20100000, 0.99993259, 0.99990563, 0.00007976, 2.49976407, 3.49990563, 1.18320000
0.20200000, 0.99991786, 0.99988500, 0.00009719, 2.49971251, 3.49988500, 1.18319652
0.20300000, 0.99990024, 0.99986033, 0.00011805, 2.49965084, 3.49986033, 1.18319235
0.20400000, 0.99987923, 0.99983093, 0.00014290, 2.49957733, 3.49983093, 1.18318738
0.20500000, 0.99985428, 0.99979600, 0.00017242, 2.49949003, 3.49979601, 1.18318147
0.20600000, 0.99982477, 0.99975468, 0.00020735, 2.49938673, 3.49975469, 1.18317449
0.20700000, 0.99978996, 0.99970597, 0.00024854, 2.49926494, 3.49970597, 1.18316625
0.20800000, 0.99974908, 0.99964874, 0.00029691, 2.49912189, 3.49964875, 1.18315658
0.20900000, 0.99970124, 0.99958177, 0.00035353, 2.49895448, 3.49958178, 1.18314525
0.21000000, 0.99964545, 0.99950367, 0.00041956, 2.49875927, 3.49950369, 1.18313205
0.21100000, 0.99958064, 0.99941295, 0.00049627, 2.49853250, 3.49941297, 1.18311671
0.21200000, 0.99950562, 0.99930794, 0.00058506, 2.49827003, 3.49930798, 1.18309895
0.21300000, 0.99941910, 0.99918685, 0.00068747, 2.49796737, 3.49918690, 1.18307847
0.21400000, 0.99931970, 0.99904773, 0.00080513, 2.49761966, 3.49904779, 1.18305494
0.21500000, 0.99920592, 0.99888849, 0.00093984, 2.49722166, 3.49888857, 1.18302800
0.21600000, 0.99907614, 0.99870688, 0.00109348, 2.49676780, 3.49870698, 1.18299728
0.21700000, 0.99892868, 0.99850053, 0.00126808, 2.49625214, 3.49850067, 1.18296236
0.21800000, 0.99876174, 0.99826694, 0.00146578, 2.49566842, 3.49826712, 1.18292283
0.21900000, 0.99857343, 0.99800347, 0.00168880, 2.49501010, 3.49800370, 1.18287823
0.22000000, 0.99836180, 0.99770739, 0.00193949, 2.49427035, 3.49770769, 1.18282810
0.22100000, 0.99812481, 0.99737586, 0.00222026, 2.49344212, 3.49737625, 1.18277196
0.22200000, 0.99786037, 0.99700600, 0.00253360, 2.49251819, 3.49700648, 1.18270931
0.22300000, 0.99756637, 0.99659482, 0.00288205, 2.49149120, 3.49659544, 1.18263964
0.22400000, 0.99724065, 0.99613936, 0.00326818, 2.49035372, 3.49614013, 1.18256244
0.22500000, 0.99688106, 0.99563660, 0.00369458, 2.48909829, 3.49563757, 1.18247719
0.22600000, 0.99648544, 0.99508356, 0.00416383, 2.48771753, 3.49508476, 1.18238337
0.22700000, 0.99605167, 0.99447730, 0.00467849, 2.48620415, 3.49447879, 1.18228048
0.22800000, 0.99557768, 0.99381495, 0.00524107, 2.48455105, 3.49381678, 1.18216802
0.22900000, 0.99506144, 0.99309373, 0.00585402, 2.48275138, 3.49309596, 1.18204549
0.23000000, 0.99450103, 0.99231098, 0.00651969, 2.48079859, 3.49231369, 1.18191242
0.23100000, 0.99389461, 0.99146418, 0.00724033, 2.47868651, 3.49146745, 1.18176838
0.23200000, 0.99324047, 0.99055099, 0.00801806, 2.47640940, 3.49055491, 1.18161293
0.23300000, 0.99253700, 0.98956924, 0.00885486, 2.47396200, 3.48957391, 1.18144568
0.23400000, 0.99178277, 0.98851697, 0.00975256, 2.47133958, 3.48852252, 1.18126626
0.23500000, 0.99097649, 0.98739244, 0.01071280, 2.46853797, 3.48739900, 1.18107436
0.23600000, 0.99011701, 0.98619416, 0.01173704, 2.46555359, 3.48620187, 1.18086968
0.23700000, 0.98920337, 0.98492086, 0.01282657, 2.46238352, 3.48492987, 1.18065196
0.23800000, 0.98823479, 0.98357153, 0.01398247, 2.45902542, 3.48358202, 1.18042099
0.23900000, 0.98721066, 0.98214541, 0.01520563, 2.45547765, 3.48215757, 1.18017659
0.24000000, 0.98613053, 0.98064200, 0.01649671, 2.45173918, 3.48065603, 1.17991863
0.24100000, 0.98499416, 0.97906104, 0.01785622, 2.44780964, 3.47907717, 1.17964702
0.24200000, 0.98380145, 0.97740254, 0.01928443, 2.44368927, 3.47742099, 1.17936170
0.24300000, 0.98255248, 0.97566671, 0.02078144, 2.43937893, 3.47568775, 1.17906265
0.24400000, 0.98124751, 0.97385402, 0.02234717, 2.43488006, 3.47387792, 1.17874988
0.24500000, 0.97988693, 0.97196515, 0.02398135, 2.43019463, 3.47199221, 1.17842346
0.24600000, 0.97847127, 0.97000097, 0.02568356, 2.42532516, 3.47003150, 1.17808347
0.24700000, 0.97700122, 0.96796257, 0.02745322, 2.42027461, 3.46799689, 1.17773003
0.24800000, 0.97547756, 0.96585119, 0.02928960, 2.41504641, 3.46588966, 1.17736328
0.24900000, 0.97390123, 0.96366824, 0.03119184, 2.40964437, 3.46371123, 1.17698339
0.25000000, 0.97227322, 0.96141526, 0.03315897, 2.40407267, 3.46146316, 1.17659057
0.25100000, 0.97059465, 0.95909393, 0.03518990, 2.39833579, 3.45914716, 1.17618502
0.25200000, 0.96886670, 0.95670604, 0.03728347, 2.39243849, 3.45676504, 1.17576699
0.25300000, 0.96709062, 0.95425346, 0.03943840, 2.38638575, 3.45431869, 1.17533672
0.25400000, 0.96526773, 0.95173816, 0.04165338, 2.38018276, 3.45181011, 1.17489448
0.25500000, 0.96339939, 0.94916215, 0.04392701, 2.37383485, 3.44924133, 1.17444055
0.25600000, 0.96148699, 0.94652751, 0.04625786, 2.36734747, 3.44661446, 1.17397522
0.25700000, 0.95953197, 0.94383636, 0.04864445, 2.36072615, 3.44393165, 1.17349879
0.25800000, 0.95753576, 0.94109082, 0.05108528, 2.35397648, 3.44119504, 1.17301154
0.25900000, 0.95549982, 0.93829304, 0.05357883, 2.34710407, 3.43840682, 1.17251379
0.26000000, 0.95342563, 0.93544518, 0.05612356, 2.34011453, 3.43556917, 1.17200584
0.26100000, 0.95131465, 0.93254939, 0.05871793, 2.33301343, 3.43268426, 1.17148801
0.26200000, 0.94916832, 0.92960779, 0.06136042, 2.32580632, 3.42975427, 1.17096058
0.26300000, 0.94698810, 0.92662249, 0.06404948, 2.31849866, 3.42678134, 1.17042388
0.26400000, 0.94477541, 0.92359558, 0.06678362, 2.31109584, 3.42376757, 1.16987821
0.26500000, 0.94253166, 0.92052911, 0.06956133, 2.30360313, 3.42071506, 1.16932385
0.26600000, 0.94025823, 0.91742509, 0.07238115, 2.29602574, 3.41762585, 1.16876111
0.26700000, 0.93795646, 0.91428547, 0.07524162, 2.28836870, 3.41450195, 1.16819027
0.26800000, 0.93562769, 0.91111218, 0.07814133, 2.28063695, 3.41134530, 1.16761162
0.26900000, 0.93327321, 0.90790709, 0.08107890, 2.27283530, 3.40815781, 1.16702544
0.27000000, 0.93089427, 0.90467202, 0.08405298, 2.26496838, 3.40494136, 1.16643198
0.27100000, 0.92849209, 0.90140873, 0.08706224, 2.25704072, 3.40169774, 1.16583152
0.27200000, 0.92606787, 0.89811893, 0.09010541, 2.24905668, 3.39842870, 1.16522431
0.27300000, 0.92362274, 0.89480427, 0.09318125, 2.24102048, 3.39513594, 1.16461059
0.27400000, 0.92115782, 0.89146637, 0.09628855, 2.23293617, 3.39182110, 1.16399061
0.27500000, 0.91867419, 0.88810675, 0.09942614, 2.22480768, 3.38848578, 1.16336460
0.27600000, 0.91617288, 0.88472691, 0.10259290, 2.21663879, 3.38513151, 1.16273279
0.27700000, 0.91365490, 0.88132829, 0.10578774, 2.20843310, 3.38175976, 1.16209539
0.27800000, 0.91112121, 0.87791225, 0.10900960, 2.20019410, 3.37837196, 1.16145261
0.27900000, 0.90857274, 0.87448013, 0.11225747, 2.19192512, 3.37496948, 1.16080465
0.28000000, 0.90601037, 0.87103320, 0.11553037, 2.18362937, 3.37155364, 1.16015172
0.28100000, 0.90343497, 0.86757267, 0.11882737, 2.17530990, 3.36812572, 1.15949398
0.28200000, 0.90084737, 0.86409973, 0.12214755, 2.16696964, 3.36468693, 1.15883164
0.28300000, 0.89824835, 0.86061548, 0.12549005, 2.15861140, 3.36123844, 1.15816485
0.28400000, 0.89563868, 0.85712102, 0.12885402, 2.15023785, 3.35778138, 1.15749379
0.28500000, 0.89301907, 0.85361736, 0.13223867, 2.14185155, 3.35431684, 1.15681862
0.28600000, 0.89039024, 0.85010550, 0.13564322, 2.13345493, 3.35084584, 1.15613949
0.28700000, 0.88775285, 0.84658637, 0.13906693, 2.12505032, 3.34736938, 1.15545655
0.28800000, 0.88510753, 0.84306088, 0.14250909, 2.11663994, 3.34388841, 1.15476993
0.28900000, 0.88245491, 0.83952988, 0.14596901, 2.10822591, 3.34040385, 1.15407978
